date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:08	153/153	---M--	200	added ('OK')	text/plain	date:Sun,%2014%20Jun%202020%2017:28:06%20GMT	https://www.thinktub.live/robots.txt		(from )
17:39:11	22880/22880	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Apr%202021%2012:09:14%20GMT	https://www.thinktub.live/	D:/PROJECTS/ThinkTub%20Static%20Website/www.thinktub.live/index.html	(from )
17:39:12	11114/11114	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Dec%202020%2016:59:56%20GMT	https://www.thinktub.live/apple-touch-icon.png	D:/PROJECTS/ThinkTub%20Static%20Website/www.thinktub.live/apple-touch-icon.png	(from https://www.thinktub.live/)
17:39:12	1534/1534	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Dec%202020%2016:59:56%20GMT	https://www.thinktub.live/favicon-32x32.png	D:/PROJECTS/ThinkTub%20Static%20Website/www.thinktub.live/favicon-32x32.png	(from https://www.thinktub.live/)
17:39:12	77011/77011	---M--	200	added ('OK')	text/css	date:Sun,%2031%20May%202020%2007:37:25%20GMT	https://www.thinktub.live/assets/css/main.css	D:/PROJECTS/ThinkTub%20Static%20Website/www.thinktub.live/assets/css/main.css	(from https://www.thinktub.live/)
17:39:13	604/604	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Dec%202020%2016:59:56%20GMT	https://www.thinktub.live/favicon-16x16.png	D:/PROJECTS/ThinkTub%20Static%20Website/www.thinktub.live/favicon-16x16.png	(from https://www.thinktub.live/)
17:39:14	1307/1307	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2001%20Apr%202021%2012:09:16%20GMT	https://www.thinktub.live/site.webmanifest	D:/PROJECTS/ThinkTub%20Static%20Website/www.thinktub.live/site.webmanifest	(from https://www.thinktub.live/)
17:39:14	3764/3764	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jun%202020%2018:49:51%20GMT	https://www.thinktub.live/images/logo_symbol.png	D:/PROJECTS/ThinkTub%20Static%20Website/www.thinktub.live/images/logo_symbol.png	(from https://www.thinktub.live/)
17:39:14	18463/18463	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Apr%202021%2012:09:17%20GMT	https://www.thinktub.live/about	D:/PROJECTS/ThinkTub%20Static%20Website/www.thinktub.live/about.html	(from https://www.thinktub.live/)
17:39:15	144719/144719	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20May%202020%2013:42:31%20GMT	https://www.thinktub.live/images/cyber-4062449__480.jpg	D:/PROJECTS/ThinkTub%20Static%20Website/www.thinktub.live/images/cyber-4062449__480.jpg	(from https://www.thinktub.live/)
